#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_6:15285725-15283332  -            798 21465at71240         -            659         0 1072.3   8.9   1   2  4.4e-193  9.7e-192  638.0   2.2     1   430    22   521    22   522 0.91 -
scaffold_6:15285725-15283332  -            798 21465at71240         -            659         0 1072.3   8.9   2   2  3.3e-132  7.4e-131  436.9   0.6   430   659   547   788   538   788 0.96 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   4  11   9.7e-20   2.2e-18   65.2   0.1   222   319   294   391   292   397 0.89 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   5  11   2.4e-25   5.3e-24   83.8   0.0   516   643   350   475   349   475 0.94 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   6  11   7.5e-17   1.7e-15   55.7   0.0   569   639   471   541   469   541 0.97 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   7  11   2.2e-23   4.9e-22   77.3   0.1   529   643   536   650   533   650 0.96 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   8  11   2.8e-20   6.3e-19   67.0   0.1   531   639   608   716   608   717 0.97 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4   9  11   1.6e-22   3.6e-21   74.4   0.0   532   643   714   825   713   825 0.96 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4  10  11   9.7e-13   2.2e-11   42.1   0.1   568   639   820   891   819   892 0.98 -
scaffold_10:7935577-7938474   -            966 21465at71240         -            659  9.2e-199  661.2  17.4  11  11   8.6e-17   1.9e-15   55.5   0.0   567   643   889   965   888   966 0.95 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   1   8   5.8e-28   1.3e-26   92.4   0.2   192   361     1   170     1   171 0.98 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   2   8     9e-25     2e-23   81.9   0.3   187   319   101   233    99   238 0.94 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   3   8   2.9e-32   6.4e-31  106.6   0.3   187   357   171   341   168   345 0.97 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   4   8   1.5e-32   3.2e-31  107.6   0.2   187   358   241   412   239   415 0.98 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   5   8     9e-33     2e-31  108.3   0.2   184   361   308   485   302   486 0.95 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   6   8     2e-32   4.4e-31  107.2   1.0   187   358   416   587   414   589 0.98 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   7   8   5.3e-11   1.2e-09   36.4   0.1   567   636   594   663   588   665 0.92 -
scaffold_3:39569093-39566799  -            765 21465at71240         -            659  1.1e-188  628.0  34.6   8   8   3.4e-20   7.4e-19   66.8   0.0   187   291   661   765   657   765 0.98 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   1   8   1.7e-34   3.8e-33  114.0   0.1   187   367    32   208    18   208 0.97 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   2   8     1e-39   2.2e-38  131.3   0.3   187   367   203   383   199   383 0.99 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   3   8   1.3e-28   2.9e-27   94.6   0.1   187   357   378   548   377   549 0.99 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   4   8   2.9e-22   6.4e-21   73.6   0.5   512   639   500   628   498   630 0.92 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   5   8   1.6e-21   3.6e-20   71.1   0.1   528   639   622   733   619   733 0.97 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   6   8   2.2e-25   4.8e-24   83.9   2.0   500   639   733   873   731   874 0.98 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   7   8   7.9e-26   1.8e-24   85.4   0.8   500   637   803   941   802   942 0.97 -
scaffold_10:723563-726523     -            987 21465at71240         -            659  1.5e-186  620.9  42.0   8   8   2.2e-16     5e-15   54.1   0.5   501   609   874   986   874   987 0.90 -
scaffold_7:4195708-4193315    -            798 21465at71240         -            659  1.4e-178  594.5  39.4   1   7   7.1e-32   1.6e-30  105.3   1.9   466   640    75   250    70   251 0.96 -
scaffold_7:4195708-4193315    -            798 21465at71240         -            659  1.4e-178  594.5  39.4   2   7   7.1e-15   1.6e-13   49.2   0.0   223   288   245   310   244   314 0.96 -
scaffold_7:4195708-4193315    -            798 21465at71240         -            659  1.4e-178  594.5  39.4   3   7   2.1e-39   4.8e-38  130.2   0.7   188   378   315   505   313   507 0.98 -
scaffold_7:4195708-4193315    -            798 21465at71240         -            659  1.4e-178  594.5  39.4   4   7     2e-36   4.4e-35  120.4   0.8   188   372   420   604   419   607 0.99 -
scaffold_7:4195708-4193315    -            798 21465at71240         -            659  1.4e-178  594.5  39.4   5   7   4.3e-35   9.6e-34  116.0   1.2   188   372   490   674   490   676 0.99 -
scaffold_7:4195708-4193315    -            798 21465at71240         -            659  1.4e-178  594.5  39.4   6   7   1.5e-26   3.3e-25   87.7   0.4   501   643   600   743   599   743 0.96 -
scaffold_7:4195708-4193315    -            798 21465at71240         -            659  1.4e-178  594.5  39.4   7   7   2.7e-18   5.9e-17   60.5   0.3   189   314   666   791   666   798 0.95 -
scaffold_10:612454-609596     -            953 21465at71240         -            659  1.9e-171  571.0  22.9   1   7   9.2e-10   2.1e-08   32.3   0.0   567   629     2    64     1    70 0.92 -
scaffold_10:612454-609596     -            953 21465at71240         -            659  1.9e-171  571.0  22.9   2   7   3.1e-34   6.9e-33  113.1   0.9   180   358    58   240    56   244 0.95 -
scaffold_10:612454-609596     -            953 21465at71240         -            659  1.9e-171  571.0  22.9   3   7   1.8e-30     4e-29  100.7   0.6   188   358   245   415   241   419 0.98 -
scaffold_10:612454-609596     -            953 21465at71240         -            659  1.9e-171  571.0  22.9   4   7   7.5e-26   1.7e-24   85.4   0.1   188   318   420   550   416   555 0.97 -
scaffold_10:612454-609596     -            953 21465at71240         -            659  1.9e-171  571.0  22.9   5   7   1.8e-34     4e-33  113.9   0.1   187   361   524   698   524   699 0.99 -
scaffold_10:612454-609596     -            953 21465at71240         -            659  1.9e-171  571.0  22.9   6   7   3.6e-37     8e-36  122.8   0.1   183   364   656   841   654   844 0.94 -
scaffold_10:612454-609596     -            953 21465at71240         -            659  1.9e-171  571.0  22.9   7   7   6.1e-20   1.4e-18   65.9   0.0   533   637   843   947   839   953 0.95 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   1   8   4.7e-13     1e-11   43.2   0.1   210   289    44   124    21   127 0.87 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   2   8   1.3e-24   2.9e-23   81.4   0.1   187   290    92   195    91   201 0.96 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   3   8   7.1e-17   1.6e-15   55.8   0.1   515   639   147   264   146   264 0.95 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   4   8   9.5e-26   2.1e-24   85.1   0.5   509   639   203   334   198   334 0.95 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   5   8   2.1e-37   4.6e-36  123.6   0.1   188   358   330   500   329   503 0.99 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   6   8   1.3e-29     3e-28   97.8   0.6   495   639   469   614   462   614 0.93 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   7   8     2e-30   4.4e-29  100.6   0.2   496   635   505   645   502   645 0.95 -
scaffold_7:5673799-5671730    -            690 21465at71240         -            659  1.8e-160  534.7  29.4   8   8   2.7e-06     6e-05   20.8   0.0   187   232   644   689   643   690 0.95 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   1   8   1.9e-17   4.2e-16   57.7   0.1   187   309    22   144    10   144 0.94 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   2   8   1.6e-17   3.5e-16   58.0   0.0   532   637   130   235   130   237 0.95 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   3   8   1.6e-23   3.6e-22   77.7   0.1   518   643   185   311   183   312 0.93 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   4   8   5.3e-26   1.2e-24   85.9   0.1   187   319   232   364   231   371 0.97 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   5   8   8.7e-30   1.9e-28   98.4   0.1   500   643   307   451   307   452 0.97 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   6   8   5.2e-37   1.2e-35  122.3   0.4   187   367   372   552   366   552 0.97 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   7   8   8.4e-22   1.9e-20   72.1   0.5   532   636   515   619   505   621 0.93 -
scaffold_10:692873-694858     -            662 21465at71240         -            659  6.6e-158  526.2  27.9   8   8   6.9e-08   1.5e-06   26.1   0.1   566   608   619   661   618   662 0.95 -
scaffold_7:1874150-1872186    -            655 21465at71240         -            659  6.9e-156  519.6  28.7   1   7     1e-18   2.2e-17   61.9   1.4   193   304     4   115     1   115 0.94 -
scaffold_7:1874150-1872186    -            655 21465at71240         -            659  6.9e-156  519.6  28.7   2   7   2.7e-35   6.1e-34  116.6   0.9   187   358   103   273    99   275 0.96 -
scaffold_7:1874150-1872186    -            655 21465at71240         -            659  6.9e-156  519.6  28.7   3   7   1.2e-27   2.7e-26   91.4   0.6   500   639   178   316   176   316 0.95 -
scaffold_7:1874150-1872186    -            655 21465at71240         -            659  6.9e-156  519.6  28.7   4   7   2.8e-24   6.3e-23   80.2   0.0   516   639   263   386   262   386 0.99 -
scaffold_7:1874150-1872186    -            655 21465at71240         -            659  6.9e-156  519.6  28.7   5   7   7.5e-27   1.7e-25   88.7   0.1   500   639   316   456   316   456 0.95 -
scaffold_7:1874150-1872186    -            655 21465at71240         -            659  6.9e-156  519.6  28.7   6   7   3.5e-28   7.8e-27   93.1   0.1   500   639   421   561   421   561 0.97 -
scaffold_7:1874150-1872186    -            655 21465at71240         -            659  6.9e-156  519.6  28.7   7   7   9.3e-16   2.1e-14   52.1   0.0   567   653   559   645   558   654 0.94 -
scaffold_3:39562753-39560573  -            727 21465at71240         -            659  2.4e-155  517.8  23.8   1   7   4.5e-27   9.9e-26   89.5   0.1   210   358    15   163     4   167 0.89 -
scaffold_3:39562753-39560573  -            727 21465at71240         -            659  2.4e-155  517.8  23.8   2   7   9.5e-25   2.1e-23   81.8   0.2   187   318   132   263   125   267 0.96 -
scaffold_3:39562753-39560573  -            727 21465at71240         -            659  2.4e-155  517.8  23.8   3   7     3e-30   6.7e-29  100.0   0.2   187   356   167   336   163   341 0.97 -
scaffold_3:39562753-39560573  -            727 21465at71240         -            659  2.4e-155  517.8  23.8   4   7   3.7e-24   8.2e-23   79.8   0.1   187   318   237   368   234   372 0.96 -
scaffold_3:39562753-39560573  -            727 21465at71240         -            659  2.4e-155  517.8  23.8   5   7   1.1e-17   2.5e-16   58.4   0.1   187   287   342   442   340   447 0.90 -
scaffold_3:39562753-39560573  -            727 21465at71240         -            659  2.4e-155  517.8  23.8   6   7   4.4e-32   9.7e-31  106.0   0.3   187   358   447   618   442   621 0.97 -
scaffold_3:39562753-39560573  -            727 21465at71240         -            659  2.4e-155  517.8  23.8   7   7   1.3e-19   2.9e-18   64.8   0.0   187   292   622   727   620   727 0.98 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   1   9   1.8e-08     4e-07   28.0   0.1   193   303   122   232   103   247 0.90 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   2   9   9.3e-19   2.1e-17   62.0   0.1   500   620   226   347   225   351 0.95 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   3   9   2.8e-19   6.2e-18   63.7   0.0   212   324   351   463   346   466 0.96 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   4   9   3.2e-31   7.2e-30  103.2   0.6   176   318   451   597   444   600 0.94 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   5   9   5.9e-17   1.3e-15   56.0   0.1   232   356   581   704   580   707 0.95 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   6   9   3.5e-10   7.7e-09   33.7   0.1   183   325   671   815   667   817 0.93 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   7   9   5.5e-26   1.2e-24   85.9   0.0   178   325   804   955   803   957 0.96 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   8   9     5e-22   1.1e-20   72.8   0.0   181   267   951  1037   948  1038 0.97 -
scaffold_8:14895414-14892094  -           1107 21465at71240         -            659    2e-152  508.2   8.2   9   9   1.7e-13   3.7e-12   44.6   0.0   188   263  1028  1103  1027  1106 0.92 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   1   8     6e-19   1.3e-17   62.6   1.1   191   318     4   131     1   134 0.93 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   2   8   2.4e-36   5.3e-35  120.1   0.4   187   372    70   255    68   257 0.97 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   3   8   7.1e-16   1.6e-14   52.5   0.1   559   643   239   324   237   325 0.95 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   4   8   7.1e-24   1.6e-22   78.9   0.1   523   639   308   425   306   425 0.94 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   5   8   5.3e-29   1.2e-27   95.8   1.2   514   639   404   530   402   531 0.96 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   6   8   2.6e-18   5.8e-17   60.5   0.1   541   643   502   604   502   606 0.93 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   7   8   4.2e-30   9.2e-29   99.5   0.6   500   635   600   736   599   737 0.95 -
scaffold_7:1880981-1878705    -            759 21465at71240         -            659  1.3e-149  498.8  34.6   8   8    0.0069      0.15    9.6   0.0   188   210   736   758   735   759 0.92 -
scaffold_7:2076627-2074912    -            572 21465at71240         -            659  2.1e-148  494.8  35.4   1   7   1.8e-29   4.1e-28   97.4   1.8   469   636    37   205    19   207 0.96 -
scaffold_7:2076627-2074912    -            572 21465at71240         -            659  2.1e-148  494.8  35.4   2   7   6.5e-25   1.5e-23   82.3   0.4   188   304   169   285   162   285 0.98 -
scaffold_7:2076627-2074912    -            572 21465at71240         -            659  2.1e-148  494.8  35.4   3   7   5.2e-33   1.2e-31  109.1   1.2   499   644   207   353   207   358 0.96 -
scaffold_7:2076627-2074912    -            572 21465at71240         -            659  2.1e-148  494.8  35.4   4   7   4.5e-28     1e-26   92.8   0.5   187   312   273   397   269   400 0.96 -
scaffold_7:2076627-2074912    -            572 21465at71240         -            659  2.1e-148  494.8  35.4   5   7   4.3e-19   9.5e-18   63.1   0.2   532   639   346   452   346   452 0.87 -
scaffold_7:2076627-2074912    -            572 21465at71240         -            659  2.1e-148  494.8  35.4   6   7   6.3e-27   1.4e-25   89.0   0.1   517   639   399   522   398   523 0.96 -
scaffold_7:2076627-2074912    -            572 21465at71240         -            659  2.1e-148  494.8  35.4   7   7   4.6e-09     1e-07   30.0   0.0   567   610   520   563   519   571 0.90 -
scaffold_3:26431454-26433550  -            699 21465at71240         -            659  6.1e-145  483.4  34.1   1   7   6.9e-28   1.5e-26   92.2   0.4   187   317    35   165    19   170 0.93 -
scaffold_3:26431454-26433550  -            699 21465at71240         -            659  6.1e-145  483.4  34.1   2   7   7.8e-19   1.7e-17   62.3   0.1   200   318   118   236   118   241 0.93 -
scaffold_3:26431454-26433550  -            699 21465at71240         -            659  6.1e-145  483.4  34.1   3   7   9.8e-21   2.2e-19   68.5   0.3   529   628   245   344   235   351 0.91 -
scaffold_3:26431454-26433550  -            699 21465at71240         -            659  6.1e-145  483.4  34.1   4   7   2.3e-34   5.2e-33  113.5   1.3   178   357   337   520   334   520 0.96 -
scaffold_3:26431454-26433550  -            699 21465at71240         -            659  6.1e-145  483.4  34.1   5   7   2.1e-20   4.8e-19   67.4   0.6   531   636   457   562   453   564 0.94 -
scaffold_3:26431454-26433550  -            699 21465at71240         -            659  6.1e-145  483.4  34.1   6   7   1.9e-26   4.2e-25   87.4   1.1   181   318   480   621   477   622 0.94 -
scaffold_3:26431454-26433550  -            699 21465at71240         -            659  6.1e-145  483.4  34.1   7   7     1e-18   2.3e-17   61.9   0.0   187   291   595   699   591   699 0.96 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   1   8   2.4e-18   5.3e-17   60.6   0.0   207   305    20   118     2   119 0.88 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   2   8   3.5e-14   7.8e-13   46.9   0.0   566   640   107   181   106   183 0.95 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   3   8   5.7e-26   1.3e-24   85.8   0.2   512   643   122   254   122   254 0.96 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   4   8     1e-23   2.3e-22   78.3   0.1   190   309   248   367   246   370 0.97 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   5   8   7.4e-24   1.6e-22   78.8   0.1   534   639   355   460   353   461 0.99 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   6   8   2.5e-16   5.6e-15   54.0   0.1   568   639   459   530   459   530 0.99 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   7   8   5.8e-16   1.3e-14   52.8   0.0   568   639   529   600   529   600 0.97 -
scaffold_7:1887228-1889360    -            711 21465at71240         -            659  3.4e-144  480.9  20.6   8   8   3.5e-27   7.7e-26   89.8   0.0   190   303   598   711   595   711 0.98 -
scaffold_10:814802-812610     -            731 21465at71240         -            659  1.3e-143  479.0  18.3   1   6   7.1e-10   1.6e-08   32.6   0.0   209   272    22    85     3    85 0.84 -
scaffold_10:814802-812610     -            731 21465at71240         -            659  1.3e-143  479.0  18.3   2   6   4.4e-33   9.7e-32  109.3   0.2   164   356    42   204    40   209 0.59 -
scaffold_10:814802-812610     -            731 21465at71240         -            659  1.3e-143  479.0  18.3   3   6   2.9e-22   6.5e-21   73.6   0.1   203   320   191   308   191   315 0.95 -
scaffold_10:814802-812610     -            731 21465at71240         -            659  1.3e-143  479.0  18.3   4   6   3.1e-39   6.9e-38  129.7   0.1   188   367   316   495   309   495 0.98 -
scaffold_10:814802-812610     -            731 21465at71240         -            659  1.3e-143  479.0  18.3   5   6   3.3e-36   7.3e-35  119.7   0.3   187   359   490   662   489   662 0.99 -
scaffold_10:814802-812610     -            731 21465at71240         -            659  1.3e-143  479.0  18.3   6   6   1.3e-19   2.9e-18   64.8   0.2   186   356   629   729   615   731 0.46 -
scaffold_7:4183521-4181383    -            713 21465at71240         -            659    7e-141  470.0  27.5   1   7   4.2e-14   9.3e-13   46.6   0.3   187   288    19   120     4   124 0.92 -
scaffold_7:4183521-4181383    -            713 21465at71240         -            659    7e-141  470.0  27.5   2   7   8.3e-23   1.8e-21   75.4   0.1   188   288    90   190    89   194 0.97 -
scaffold_7:4183521-4181383    -            713 21465at71240         -            659    7e-141  470.0  27.5   3   7   4.6e-34     1e-32  112.6   1.1   188   358   195   365   191   369 0.97 -
scaffold_7:4183521-4181383    -            713 21465at71240         -            659    7e-141  470.0  27.5   4   7   3.5e-21   7.8e-20   70.0   0.3   510   643   314   448   314   450 0.96 -
scaffold_7:4183521-4181383    -            713 21465at71240         -            659    7e-141  470.0  27.5   5   7   8.2e-26   1.8e-24   85.3   0.1   496   640   405   550   401   553 0.96 -
scaffold_7:4183521-4181383    -            713 21465at71240         -            659    7e-141  470.0  27.5   6   7   1.7e-23   3.7e-22   77.7   0.1   500   643   444   588   443   588 0.97 -
scaffold_7:4183521-4181383    -            713 21465at71240         -            659    7e-141  470.0  27.5   7   7   2.1e-20   4.6e-19   67.4   0.1   187   315   579   707   576   713 0.96 -
scaffold_3:39574082-39572070  -            671 21465at71240         -            659  8.2e-140  466.5  25.4   1   6   2.9e-28   6.4e-27   93.4   0.1   209   357    22   170     5   171 0.94 -
scaffold_3:39574082-39572070  -            671 21465at71240         -            659  8.2e-140  466.5  25.4   2   6     3e-24   6.7e-23   80.1   0.1   187   318   140   271   129   275 0.94 -
scaffold_3:39574082-39572070  -            671 21465at71240         -            659  8.2e-140  466.5  25.4   3   6   2.4e-32   5.2e-31  106.9   1.0   187   360   245   418   243   420 0.98 -
scaffold_3:39574082-39572070  -            671 21465at71240         -            659  8.2e-140  466.5  25.4   4   6     8e-22   1.8e-20   72.1   0.4   526   639   347   460   341   460 0.96 -
scaffold_3:39574082-39572070  -            671 21465at71240         -            659  8.2e-140  466.5  25.4   5   6   2.7e-31   5.9e-30  103.4   0.6   187   358   420   591   419   594 0.98 -
scaffold_3:39574082-39572070  -            671 21465at71240         -            659  8.2e-140  466.5  25.4   6   6   5.2e-20   1.2e-18   66.1   0.1   187   298   560   671   559   671 0.98 -
scaffold_7:1858636-1856360    -            759 21465at71240         -            659  8.9e-139  463.0  18.5   1   6   4.3e-21   9.5e-20   69.7   0.3   484   637     4   158     2   160 0.94 -
scaffold_7:1858636-1856360    -            759 21465at71240         -            659  8.9e-139  463.0  18.5   2   6   1.5e-31   3.3e-30  104.3   0.2   500   643   160   304   156   310 0.94 -
scaffold_7:1858636-1856360    -            759 21465at71240         -            659  8.9e-139  463.0  18.5   3   6   8.1e-28   1.8e-26   91.9   0.1   500   639   300   439   298   441 0.99 -
scaffold_7:1858636-1856360    -            759 21465at71240         -            659  8.9e-139  463.0  18.5   4   6   3.1e-31   6.9e-30  103.2   1.1   500   643   404   548   404   557 0.96 -
scaffold_7:1858636-1856360    -            759 21465at71240         -            659  8.9e-139  463.0  18.5   5   6   2.1e-27   4.7e-26   90.6   0.1   500   639   544   683   543   683 0.99 -
scaffold_7:1858636-1856360    -            759 21465at71240         -            659  8.9e-139  463.0  18.5   6   6   1.3e-15   2.9e-14   51.6   0.0   567   643   681   757   680   759 0.91 -
scaffold_7:2321994-2320339    -            552 21465at71240         -            659  2.5e-132  441.7  29.0   1   6   5.5e-28   1.2e-26   92.5   1.6   188   357    18   187     4   188 0.94 -
scaffold_7:2321994-2320339    -            552 21465at71240         -            659  2.5e-132  441.7  29.0   2   6   1.3e-29   2.9e-28   97.8   0.6   200   358   100   258   100   262 0.98 -
scaffold_7:2321994-2320339    -            552 21465at71240         -            659  2.5e-132  441.7  29.0   3   6   7.7e-26   1.7e-24   85.4   0.2   188   319   158   289   146   294 0.71 -
scaffold_7:2321994-2320339    -            552 21465at71240         -            659  2.5e-132  441.7  29.0   4   6   2.4e-19   5.4e-18   63.9   0.3   511   610   278   378   277   378 0.93 -
scaffold_7:2321994-2320339    -            552 21465at71240         -            659  2.5e-132  441.7  29.0   5   6   1.2e-27   2.8e-26   91.3   0.1   187   319   367   499   362   503 0.97 -
scaffold_7:2321994-2320339    -            552 21465at71240         -            659  2.5e-132  441.7  29.0   6   6   1.5e-20   3.3e-19   67.9   0.2   510   609   452   552   450   552 0.91 -
