#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_9:5654072-5650965    -           1036 7941at71240          -            811         0 1129.4  24.5   1   2  4.4e-156  9.7e-155  515.9  14.0    17   421   122   567   112   581 0.91 -
scaffold_9:5654072-5650965    -           1036 7941at71240          -            811         0 1129.4  24.5   2   2    3e-187  6.6e-186  619.0   1.9   417   811   615  1027   598  1027 0.96 -
scaffold_9:12117375-12120398  -           1008 7941at71240          -            811  8.2e-170  565.7   8.9  11  11   3.1e-15   6.8e-14   50.0   0.0   649   754   898  1006   892  1008 0.67 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   1  10   4.8e-06   0.00011   19.6   0.0   120   175     8    63     2    67 0.85 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   2  10   2.5e-15   5.5e-14   50.3   0.0   712   804    63   155    62   159 0.96 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   3  10     2e-18   4.4e-17   60.6   0.0   705   796   231   322   228   328 0.95 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   4  10     2e-20   4.4e-19   67.2   0.0   654   777   282   408   282   410 0.96 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   5  10   1.8e-17   4.1e-16   57.4   0.0   703   800   404   501   403   508 0.96 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   6  10   1.1e-11   2.6e-10   38.2   0.0   701   781   507   587   498   592 0.94 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   7  10   2.2e-25   4.9e-24   83.6   0.0   646   783   589   729   587   730 0.95 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   8  10   4.2e-13   9.4e-12   43.0   0.0   703   783   719   799   716   799 0.97 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3   9  10   1.8e-12   3.9e-11   40.9   0.0   703   780   789   866   788   867 0.97 -
scaffold_10:723563-726523     -            987 7941at71240          -            811  8.4e-161  535.9   0.3  10  10   5.9e-21   1.3e-19   68.9   0.0   703   810   859   966   857   968 0.97 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   1  10   1.8e-13   4.1e-12   44.2   0.0   686   777     5    99     1   103 0.89 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   2  10   4.7e-15     1e-13   49.4   0.0   706   800    98   192    96   194 0.95 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   3  10   6.5e-24   1.5e-22   78.7   0.0   650   808   179   340   179   342 0.94 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   4  10   4.3e-13   9.6e-12   42.9   0.1   703   806   340   443   338   446 0.95 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   5  10   6.3e-15   1.4e-13   49.0   0.0   704   808   411   515   410   517 0.95 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   6  10   2.3e-15   5.1e-14   50.5   0.0   703   803   445   545   438   546 0.96 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   7  10   4.3e-14   9.6e-13   46.2   0.0   703   777   515   589   509   595 0.95 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   8  10   2.9e-12   6.3e-11   40.2   0.0   704   789   586   671   585   674 0.95 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5   9  10   9.3e-33   2.1e-31  108.0   0.0   616   808   633   830   632   832 0.96 -
scaffold_10:612454-609596     -            953 7941at71240          -            811  6.6e-150  499.9   7.5  10  10   1.3e-18   2.8e-17   61.2   0.0   703   808   830   935   828   939 0.96 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   1  11   2.6e-05   0.00057   17.2   0.5   112   173     3    64     1    66 0.87 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   2  11   6.2e-11   1.4e-09   35.8   0.0   703   774    61   132    60   137 0.95 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   3  11   2.9e-19   6.4e-18   63.3   0.0   708   808   136   236   130   238 0.94 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   4  11   1.3e-15   2.9e-14   51.3   0.0   703   781   236   314   232   316 0.95 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   5  11   3.4e-18   7.5e-17   59.8   0.0   704   783   307   386   306   387 0.97 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   6  11   4.2e-21   9.3e-20   69.4   0.0   704   803   377   476   375   481 0.97 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   7  11   2.8e-17   6.2e-16   56.8   0.1   705   791   448   534   447   544 0.94 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   8  11   1.4e-14   3.1e-13   47.9   0.0   703   782   481   560   479   561 0.95 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6   9  11   4.1e-21   9.1e-20   69.5   0.0   679   783   524   631   523   632 0.96 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6  10  11   1.6e-17   3.5e-16   57.6   0.0   703   783   621   701   620   701 0.98 -
scaffold_7:1880981-1878705    -            759 7941at71240          -            811  1.1e-148  495.9  13.6  11  11   2.2e-14     5e-13   47.2   0.0   703   770   691   758   690   759 0.97 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   1   9   4.9e-27   1.1e-25   89.0   0.0   650   804     1   158     1   161 0.74 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   2   9   9.6e-25   2.1e-23   81.5   0.1   679   810   135   269   133   270 0.94 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   3   9   3.6e-20   7.9e-19   66.4   0.0   703   807   267   371   264   372 0.97 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   4   9   1.1e-18   2.4e-17   61.5   0.0   704   809   338   443   337   444 0.97 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   5   9   7.6e-15   1.7e-13   48.7   0.0   704   783   408   487   407   490 0.94 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   6   9     2e-19   4.5e-18   63.8   0.0   701   809   440   548   435   549 0.96 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   7   9   5.8e-13   1.3e-11   42.5   0.1   703   777   547   621   545   625 0.96 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   8   9   1.5e-13   3.3e-12   44.5   0.0   703   777   617   691   614   696 0.94 -
scaffold_3:39569093-39566799  -            765 7941at71240          -            811    8e-143  476.5   9.0   9   9   1.6e-12   3.5e-11   41.0   0.0   704   780   688   764   687   765 0.96 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   1   9     1e-08   2.2e-07   28.5   0.1   711   800    21   110     9   114 0.74 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   2   9   1.3e-19   2.9e-18   64.5   0.0   704   810    84   190    82   191 0.97 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   3   9   6.1e-14   1.4e-12   45.7   0.0   703   777   188   262   185   264 0.96 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   4   9   4.7e-19     1e-17   62.7   0.0   702   804   257   359   254   365 0.95 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   5   9   2.5e-16   5.5e-15   53.6   0.0   703   799   328   424   326   429 0.96 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   6   9   2.1e-16   4.7e-15   53.9   0.0   704   802   364   462   360   468 0.95 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   7   9   1.4e-14   3.1e-13   47.8   0.0   703   797   433   527   427   530 0.95 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   8   9   2.3e-25   5.2e-24   83.5   0.0   628   776   458   611   457   614 0.93 -
scaffold_10:692873-694858     -            662 7941at71240          -            811    6e-139  463.7   4.5   9   9   3.4e-24   7.6e-23   79.6   0.0   650   790   517   660   514   662 0.93 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   1  10   2.5e-05   0.00055   17.3   0.1   295   360    15    80     1    83 0.67 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   2  10     2e-15   4.5e-14   50.6   0.0   692   783    62   156    60   156 0.92 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   3  10   3.2e-20     7e-19   66.5   0.0   703   805   146   248   145   253 0.96 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   4  10   6.7e-14   1.5e-12   45.6   0.0   703   777   251   325   246   327 0.96 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   5  10     6e-13   1.3e-11   42.5   0.0   709   776   326   393   323   396 0.95 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   6  10   6.1e-18   1.4e-16   59.0   0.0   703   802   390   489   388   495 0.96 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   7  10   1.8e-13   4.1e-12   44.1   0.0   704   786   461   543   460   543 0.96 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   8  10   3.2e-14   7.2e-13   46.6   0.0   703   776   495   568   492   571 0.97 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8   9  10     5e-26   1.1e-24   85.7   0.0   673   804   532   665   531   671 0.95 -
scaffold_7:1858636-1856360    -            759 7941at71240          -            811  4.1e-136  454.3  10.8  10  10   2.1e-20   4.6e-19   67.1   0.0   703   793   669   759   666   759 0.98 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   1   9   7.1e-05    0.0016   15.7   0.3   708   778    65   135    49   137 0.80 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   2   9   1.9e-15   4.1e-14   50.7   0.0   703   778   130   205   128   207 0.97 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   3   9   3.5e-18   7.8e-17   59.8   0.0   703   783   200   280   198   280 0.96 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   4   9   4.2e-17   9.4e-16   56.2   0.0   704   783   271   350   270   350 0.96 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   5   9   2.6e-19   5.7e-18   63.5   0.0   704   802   341   439   340   441 0.97 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   6   9   8.7e-16   1.9e-14   51.8   0.0   703   786   410   493   408   493 0.97 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   7   9   8.5e-21   1.9e-19   68.4   0.0   704   805   481   582   480   587 0.96 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   8   9   8.5e-28   1.9e-26   91.6   0.0   648   800   527   682   526   688 0.96 -
scaffold_7:4195708-4193315    -            798 7941at71240          -            811  1.9e-134  448.7  12.7   9   9     2e-17   4.4e-16   57.3   0.0   703   807   690   794   682   797 0.95 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   1   9   0.00023    0.0051   14.1   0.3   124   173    13    62     4    65 0.81 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   2   9   1.9e-22   4.2e-21   73.9   0.1   705   806    61   162    60   166 0.95 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   3   9   3.2e-13   7.1e-12   43.4   0.0   705   777   131   203   129   210 0.95 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   4   9   1.9e-16   4.3e-15   54.0   0.0   703   804   164   264   160   270 0.94 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   5   9   4.9e-26   1.1e-24   85.7   0.0   650   779   212   343   209   345 0.95 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   6   9   6.6e-15   1.5e-13   48.9   0.0   703   783   337   417   336   417 0.96 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   7   9     3e-16   6.8e-15   53.3   0.0   703   778   407   482   405   483 0.97 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   8   9   1.3e-15   2.8e-14   51.3   0.0   703   778   477   552   476   554 0.97 -
scaffold_7:1874150-1872186    -            655 7941at71240          -            811  1.7e-130  435.7  17.1   9   9     4e-24   8.8e-23   79.4   0.0   703   809   547   653   546   655 0.96 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   1   8   7.4e-18   1.7e-16   58.7   0.0   703   796     3    96     1   100 0.97 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   2   8   6.3e-17   1.4e-15   55.6   0.0   704   796    74   166    72   167 0.97 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   3   8     2e-18   4.5e-17   60.5   0.0   701   802   106   207   100   209 0.95 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   4   8   8.2e-17   1.8e-15   55.2   0.0   702   786   177   261   176   261 0.97 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   5   8   1.2e-17   2.6e-16   58.0   0.0   703   789   213   299   210   302 0.97 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   6   8   6.5e-20   1.5e-18   65.5   0.0   703   804   248   349   243   352 0.97 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   7   8   7.7e-26   1.7e-24   85.1   0.1   618   767   298   452   298   461 0.60 -
scaffold_7:4190132-4188525    -            536 7941at71240          -            811  6.8e-130  433.7   3.6   8   8   9.7e-13   2.1e-11   41.8   0.0   704   779   459   534   454   536 0.96 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   1   9   4.5e-07     1e-05   23.0   0.0    37   176    78   218    57   222 0.85 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   2   9   2.5e-18   5.6e-17   60.2   0.1    73   173   218   320   216   323 0.94 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   3   9   4.4e-12   9.9e-11   39.6   0.0   704   784   318   398   312   399 0.96 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   4   9   2.3e-25   5.2e-24   83.5   0.0   649   795   400   549   398   558 0.93 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   5   9   5.9e-14   1.3e-12   45.8   0.1   678   776   534   635   533   638 0.83 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   6   9   2.8e-08   6.2e-07   27.0   0.0   704   775   633   703   630   708 0.93 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   7   9   4.5e-13     1e-11   42.9   0.0   217   354   733   876   714   878 0.55 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   8   9   3.9e-21   8.7e-20   69.5   0.0   654   798   861  1008   856  1011 0.95 -
scaffold_8:14895414-14892094  -           1107 7941at71240          -            811  1.2e-129  432.9   1.0   9   9   2.1e-16   4.8e-15   53.8   0.0   651   753   998  1103   996  1106 0.89 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   1   9   4.1e-05   0.00091   16.5   0.0   301   360     6    65     1    69 0.83 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   2   9   5.4e-20   1.2e-18   65.8   0.0   702   809    60   167    59   169 0.96 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   3   9   1.2e-16   2.7e-15   54.7   0.0   703   802   166   265   161   268 0.96 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   4   9   7.3e-20   1.6e-18   65.3   0.0   702   800   270   368   264   376 0.94 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   5   9   2.2e-15   4.9e-14   50.5   0.0   702   776   375   449   369   452 0.95 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   6   9   3.2e-16   7.1e-15   53.3   0.0   703   783   446   526   444   528 0.96 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   7   9   1.1e-15   2.4e-14   51.5   0.0   703   780   516   593   513   594 0.96 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   8   9   1.4e-16   3.1e-15   54.5   0.0   703   783   586   666   584   666 0.97 -
scaffold_7:1887228-1889360    -            711 7941at71240          -            811  1.5e-126  422.7   0.4   9   9   2.1e-08   4.7e-07   27.4   0.0   703   758   656   711   654   711 0.96 -
scaffold_10:814802-812610     -            731 7941at71240          -            811  4.5e-126  421.1   0.1   1   5   6.6e-52   1.5e-50  171.3   0.0   489   801    12   334     9   338 0.92 -
scaffold_10:814802-812610     -            731 7941at71240          -            811  4.5e-126  421.1   0.1   2   5   2.1e-24   4.6e-23   80.4   0.0   648   783   318   456   317   458 0.95 -
scaffold_10:814802-812610     -            731 7941at71240          -            811  4.5e-126  421.1   0.1   3   5     4e-19   8.8e-18   62.9   0.0   703   803   446   546   444   547 0.97 -
scaffold_10:814802-812610     -            731 7941at71240          -            811  4.5e-126  421.1   0.1   4   5   7.6e-18   1.7e-16   58.7   0.0   703   807   516   620   514   622 0.96 -
scaffold_10:814802-812610     -            731 7941at71240          -            811  4.5e-126  421.1   0.1   5   5   1.3e-22   2.8e-21   74.4   0.0   647   777   597   730   595   731 0.95 -
scaffold_3:39562753-39560573  -            727 7941at71240          -            811  5.8e-126  420.7   5.4   1   6     4e-18     9e-17   59.6   0.1   698   809    13   124     5   125 0.94 -
scaffold_3:39562753-39560573  -            727 7941at71240          -            811  5.8e-126  420.7   5.4   2   6     4e-30   8.9e-29   99.3   0.0   616   776   101   266    99   270 0.94 -
scaffold_3:39562753-39560573  -            727 7941at71240          -            811  5.8e-126  420.7   5.4   3   6   2.5e-15   5.5e-14   50.3   0.0   703   784   263   344   259   346 0.93 -
scaffold_3:39562753-39560573  -            727 7941at71240          -            811  5.8e-126  420.7   5.4   4   6   2.6e-31   5.8e-30  103.2   0.1   648   810   345   510   344   511 0.96 -
scaffold_3:39562753-39560573  -            727 7941at71240          -            811  5.8e-126  420.7   5.4   5   6   3.4e-14   7.6e-13   46.6   0.0   703   777   508   582   505   587 0.94 -
scaffold_3:39562753-39560573  -            727 7941at71240          -            811  5.8e-126  420.7   5.4   6   6     5e-22   1.1e-20   72.5   0.0   649   781   591   726   589   727 0.93 -
scaffold_6:21111369-21109600  -            590 7941at71240          -            811  1.1e-124  416.5  11.1   1   7   7.4e-12   1.6e-10   38.8   0.0   703   800    46   143    34   147 0.95 -
scaffold_6:21111369-21109600  -            590 7941at71240          -            811  1.1e-124  416.5  11.1   2   7   4.4e-14   9.8e-13   46.2   0.0   703   778   151   226   146   227 0.97 -
scaffold_6:21111369-21109600  -            590 7941at71240          -            811  1.1e-124  416.5  11.1   3   7   1.2e-19   2.6e-18   64.6   0.0   674   766   189   284   188   291 0.92 -
scaffold_6:21111369-21109600  -            590 7941at71240          -            811  1.1e-124  416.5  11.1   4   7   6.3e-26   1.4e-24   85.4   0.0   702   809   290   397   285   398 0.97 -
scaffold_6:21111369-21109600  -            590 7941at71240          -            811  1.1e-124  416.5  11.1   5   7   2.6e-24   5.9e-23   80.0   0.2   650   776   375   504   375   506 0.96 -
scaffold_6:21111369-21109600  -            590 7941at71240          -            811  1.1e-124  416.5  11.1   6   7   1.9e-25   4.2e-24   83.8   0.0   701   797   464   560   460   562 0.97 -
scaffold_6:21111369-21109600  -            590 7941at71240          -            811  1.1e-124  416.5  11.1   7   7   3.9e-20   8.7e-19   66.2   0.1   703   791   501   589   499   590 0.97 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   1   8   0.00011    0.0024   15.2   0.2   708   778    15    85     2    87 0.90 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   2   8     3e-14   6.7e-13   46.7   0.0   703   776    80   153    78   158 0.96 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   3   8   1.2e-19   2.7e-18   64.6   0.0   705   804   152   251   150   255 0.92 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   4   8   8.6e-20   1.9e-18   65.1   0.0   705   802   222   319   220   321 0.95 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   5   8   3.7e-37   8.3e-36  122.5   0.0   618   797   305   489   304   491 0.93 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   6   8     1e-12   2.2e-11   41.7   0.0   705   783   467   545   467   546 0.95 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   7   8   7.6e-13   1.7e-11   42.1   0.0   705   776   537   608   534   609 0.93 -
scaffold_7:4183521-4181383    -            713 7941at71240          -            811    8e-124  413.6   5.4   8   8   1.9e-17   4.3e-16   57.3   0.0   703   807   605   709   599   712 0.95 -
scaffold_10:719395-721338     -            648 7941at71240          -            811  8.7e-124  413.5   0.0   1   8   2.8e-17   6.2e-16   56.8   0.0   698   799    38   139    17   139 0.90 -
