#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_2:18387808-18384677  -           1044 8828at71240          -            913         0 1299.0  23.8   1   2         0         0 1283.5  21.7     1   904     2   965     2   971 0.93 -
scaffold_2:18387808-18384677  -           1044 8828at71240          -            913         0 1299.0  23.8   2   2   7.6e-05    0.0017   15.7   0.0   886   913  1017  1044   989  1044 0.77 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   4   8   1.5e-37   3.3e-36  123.9   1.1   217   357   312   453   310   461 0.95 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   5   8   2.7e-36     6e-35  119.8   0.7   232   365   398   531   395   536 0.96 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   6   8   5.8e-39   1.3e-37  128.6   0.6   225   367   460   603   452   607 0.93 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   7   8   1.9e-40   4.3e-39  133.5   0.7   219   364   524   670   520   671 0.94 -
scaffold_7:4207639-4205489    -            717 8828at71240          -            913  1.9e-226  753.4  39.0   8   8   1.9e-27   4.2e-26   90.5   0.3   224   341   599   717   597   717 0.95 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   1   9   1.9e-16   4.2e-15   54.1   0.2   248   364     4   121     2   127 0.93 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   2   9   6.5e-35   1.4e-33  115.2   0.7   231   363    57   190    43   195 0.93 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   3   9   7.5e-29   1.6e-27   95.1   0.7   224   366   120   255   117   256 0.93 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   4   9   5.8e-29   1.3e-27   95.5   1.2   242   359   201   318   198   320 0.97 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   5   9   5.2e-30   1.1e-28   99.0   0.9   245   363   239   357   239   361 0.96 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   6   9   1.4e-27   3.1e-26   90.9   0.1   245   363   309   427   309   431 0.96 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   7   9   3.9e-15   8.6e-14   49.7   0.1   220   286   423   490   420   491 0.86 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   8   9   8.7e-35   1.9e-33  114.8   0.7   245   357   484   596   484   598 0.97 -
scaffold_7:5673799-5671730    -            690 8828at71240          -            913  6.4e-211  702.1  47.1   9   9   4.9e-25   1.1e-23   82.5   0.0   240   346   584   690   584   690 1.00 -
scaffold_10:692873-694858     -            662 8828at71240          -            913    7e-206  685.4  21.7   1   7   1.3e-35   2.9e-34  117.5   0.2   198   363    24   190     4   191 0.93 -
scaffold_10:692873-694858     -            662 8828at71240          -            913    7e-206  685.4  21.7   2   7   9.4e-28   2.1e-26   91.5   0.0   249   355   111   217   108   219 0.96 -
scaffold_10:692873-694858     -            662 8828at71240          -            913    7e-206  685.4  21.7   3   7   2.7e-23     6e-22   76.8   0.0   247   345   179   277   179   277 0.97 -
scaffold_10:692873-694858     -            662 8828at71240          -            913    7e-206  685.4  21.7   4   7   2.7e-36   6.1e-35  119.7   0.2   233   354   270   391   268   394 0.98 -
scaffold_10:692873-694858     -            662 8828at71240          -            913    7e-206  685.4  21.7   5   7   1.1e-32   2.5e-31  107.8   0.1   231   352   338   459   329   460 0.96 -
scaffold_10:692873-694858     -            662 8828at71240          -            913    7e-206  685.4  21.7   6   7     1e-42   2.2e-41  141.0   0.7   181   353   391   565   390   566 0.97 -
scaffold_10:692873-694858     -            662 8828at71240          -            913    7e-206  685.4  21.7   7   7   2.5e-27   5.5e-26   90.1   0.5   232   345   549   662   548   662 0.99 -
scaffold_7:4195708-4193315    -            798 8828at71240          -            913  1.1e-199  664.9  35.0   1   7   6.3e-20   1.4e-18   65.6   0.2   242   363    45   167    39   170 0.94 -
scaffold_7:4195708-4193315    -            798 8828at71240          -            913  1.1e-199  664.9  35.0   2   7   9.1e-19     2e-17   61.8   0.1   232   296   141   205   140   206 0.96 -
scaffold_7:4195708-4193315    -            798 8828at71240          -            913  1.1e-199  664.9  35.0   3   7   9.4e-35   2.1e-33  114.7   0.2   229   362   173   306   170   307 0.98 -
scaffold_7:4195708-4193315    -            798 8828at71240          -            913  1.1e-199  664.9  35.0   4   7   1.1e-50   2.5e-49  167.4   2.4   161   357   208   406   207   406 0.96 -
scaffold_7:4195708-4193315    -            798 8828at71240          -            913  1.1e-199  664.9  35.0   5   7     4e-25   8.9e-24   82.8   0.1   250   356   404   510   401   518 0.95 -
scaffold_7:4195708-4193315    -            798 8828at71240          -            913  1.1e-199  664.9  35.0   6   7   4.5e-40   9.9e-39  132.3   1.3   232   367   526   661   515   665 0.95 -
scaffold_7:4195708-4193315    -            798 8828at71240          -            913  1.1e-199  664.9  35.0   7   7     1e-33   2.2e-32  111.2   0.6   224   363   657   797   654   798 0.95 -
scaffold_7:1887228-1889360    -            711 8828at71240          -            913  9.7e-191  635.3  20.7   1   7   5.6e-17   1.2e-15   55.9   0.0   266   363     1    98     1   100 0.97 -
scaffold_7:1887228-1889360    -            711 8828at71240          -            913  9.7e-191  635.3  20.7   2   7   1.7e-42   3.7e-41  140.3   0.3   218   366    92   241    89   245 0.96 -
scaffold_7:1887228-1889360    -            711 8828at71240          -            913  9.7e-191  635.3  20.7   3   7   3.5e-38   7.8e-37  126.0   0.6   232   355   247   370   237   372 0.96 -
scaffold_7:1887228-1889360    -            711 8828at71240          -            913  9.7e-191  635.3  20.7   4   7   4.6e-34     1e-32  112.4   0.2   245   353   365   473   365   474 0.99 -
scaffold_7:1887228-1889360    -            711 8828at71240          -            913  9.7e-191  635.3  20.7   5   7   4.3e-17   9.5e-16   56.2   0.1   306   360   461   515   461   516 0.97 -
scaffold_7:1887228-1889360    -            711 8828at71240          -            913  9.7e-191  635.3  20.7   6   7   8.7e-36   1.9e-34  118.1   0.3   245   357   505   617   505   618 0.98 -
scaffold_7:1887228-1889360    -            711 8828at71240          -            913  9.7e-191  635.3  20.7   7   7     4e-24   8.9e-23   79.5   0.1   245   346   610   711   610   711 0.99 -
scaffold_7:4183521-4181383    -            713 8828at71240          -            913    2e-185  617.7  35.8   1   7   6.5e-19   1.4e-17   62.2   0.1   248   357     2   111     1   112 0.98 -
scaffold_7:4183521-4181383    -            713 8828at71240          -            913    2e-185  617.7  35.8   2   7   1.9e-34   4.3e-33  113.6   1.8   238   365    97   224    97   228 0.93 -
scaffold_7:4183521-4181383    -            713 8828at71240          -            913    2e-185  617.7  35.8   3   7   1.5e-35   3.3e-34  117.3   1.4   217   365   215   364   213   372 0.94 -
scaffold_7:4183521-4181383    -            713 8828at71240          -            913    2e-185  617.7  35.8   4   7   8.8e-27   1.9e-25   88.3   0.4   245   357   314   426   314   426 0.98 -
scaffold_7:4183521-4181383    -            713 8828at71240          -            913    2e-185  617.7  35.8   5   7   1.6e-32   3.5e-31  107.3   0.2   235   354   374   493   365   496 0.96 -
scaffold_7:4183521-4181383    -            713 8828at71240          -            913    2e-185  617.7  35.8   6   7     4e-34   8.9e-33  112.6   0.1   231   355   475   599   467   601 0.96 -
scaffold_7:4183521-4181383    -            713 8828at71240          -            913    2e-185  617.7  35.8   7   7   1.5e-26   3.3e-25   87.5   0.2   249   363   598   712   596   713 0.97 -
scaffold_7:1858636-1856360    -            759 8828at71240          -            913  1.2e-183  611.8  31.2   1   7   6.3e-18   1.4e-16   59.0   0.9   253   366     3   116     1   119 0.93 -
scaffold_7:1858636-1856360    -            759 8828at71240          -            913  1.2e-183  611.8  31.2   2   7   4.9e-39   1.1e-37  128.8   0.1   215   357   104   247   103   248 0.96 -
scaffold_7:1858636-1856360    -            759 8828at71240          -            913  1.2e-183  611.8  31.2   3   7   2.1e-29   4.7e-28   96.9   0.3   245   357   240   351   240   352 0.97 -
scaffold_7:1858636-1856360    -            759 8828at71240          -            913  1.2e-183  611.8  31.2   4   7   3.3e-20   7.4e-19   66.5   0.1   245   331   344   430   344   430 0.98 -
scaffold_7:1858636-1856360    -            759 8828at71240          -            913  1.2e-183  611.8  31.2   5   7   7.7e-36   1.7e-34  118.3   0.7   232   366   401   535   398   540 0.97 -
scaffold_7:1858636-1856360    -            759 8828at71240          -            913  1.2e-183  611.8  31.2   6   7     1e-35   2.3e-34  117.8   0.4   231   357   540   665   528   665 0.94 -
scaffold_7:1858636-1856360    -            759 8828at71240          -            913  1.2e-183  611.8  31.2   7   7   2.7e-28   5.9e-27   93.3   0.1   237   345   650   758   649   759 0.99 -
scaffold_10:719395-721338     -            648 8828at71240          -            913    2e-182  607.8  17.1   1   7   1.2e-28   2.7e-27   94.5   0.0   239   354    26   141    22   142 0.98 -
scaffold_10:719395-721338     -            648 8828at71240          -            913    2e-182  607.8  17.1   2   7   3.7e-19   8.1e-18   63.1   0.0   302   366   124   188   124   190 0.97 -
scaffold_10:719395-721338     -            648 8828at71240          -            913    2e-182  607.8  17.1   3   7   4.5e-38     1e-36  125.6   0.1   223   356   184   318   180   319 0.95 -
scaffold_10:719395-721338     -            648 8828at71240          -            913    2e-182  607.8  17.1   4   7   9.1e-35     2e-33  114.7   0.1   245   366   312   433   312   433 0.97 -
scaffold_10:719395-721338     -            648 8828at71240          -            913    2e-182  607.8  17.1   5   7   3.3e-18   7.3e-17   59.9   0.0   299   359   401   461   400   462 0.95 -
scaffold_10:719395-721338     -            648 8828at71240          -            913    2e-182  607.8  17.1   6   7   2.9e-37   6.4e-36  123.0   0.0   220   352   426   559   421   559 0.96 -
scaffold_10:719395-721338     -            648 8828at71240          -            913    2e-182  607.8  17.1   7   7   1.2e-24   2.6e-23   81.3   1.4   223   333   534   645   534   648 0.96 -
scaffold_7:1880981-1878705    -            759 8828at71240          -            913  1.3e-181  605.1  39.1   1   7   1.4e-05   0.00031   18.1   0.5   319   465    19    65     7    71 0.58 -
scaffold_7:1880981-1878705    -            759 8828at71240          -            913  1.3e-181  605.1  39.1   2   7   1.1e-29   2.4e-28   97.9   0.5   232   356    72   196    64   197 0.97 -
scaffold_7:1880981-1878705    -            759 8828at71240          -            913  1.3e-181  605.1  39.1   3   7   9.5e-34   2.1e-32  111.3   0.4   245   363   190   308   190   310 0.97 -
scaffold_7:1880981-1878705    -            759 8828at71240          -            913  1.3e-181  605.1  39.1   4   7     2e-32   4.3e-31  107.0   0.3   247   357   297   407   296   407 0.99 -
scaffold_7:1880981-1878705    -            759 8828at71240          -            913  1.3e-181  605.1  39.1   5   7     7e-32   1.5e-30  105.2   1.8   247   360   402   515   402   522 0.96 -
scaffold_7:1880981-1878705    -            759 8828at71240          -            913  1.3e-181  605.1  39.1   6   7     7e-37   1.5e-35  121.7   0.9   232   357   527   652   523   653 0.98 -
scaffold_7:1880981-1878705    -            759 8828at71240          -            913  1.3e-181  605.1  39.1   7   7   7.2e-26   1.6e-24   85.3   0.4   250   357   650   757   649   758 0.98 -
scaffold_10:814802-812610     -            731 8828at71240          -            913  3.7e-181  603.6  24.7   1   7   1.5e-27   3.3e-26   90.8   0.1   237   366     7   136     2   137 0.93 -
scaffold_10:814802-812610     -            731 8828at71240          -            913  3.7e-181  603.6  24.7   2   7   2.5e-16   5.6e-15   53.7   0.1   280   358   120   198   120   200 0.95 -
scaffold_10:814802-812610     -            731 8828at71240          -            913  3.7e-181  603.6  24.7   3   7   7.5e-37   1.7e-35  121.6   0.7   222   357   166   302   162   305 0.95 -
scaffold_10:814802-812610     -            731 8828at71240          -            913  3.7e-181  603.6  24.7   4   7   3.8e-27   8.4e-26   89.5   0.1   247   357   297   407   294   409 0.97 -
scaffold_10:814802-812610     -            731 8828at71240          -            913  3.7e-181  603.6  24.7   5   7   2.6e-34   5.7e-33  113.2   0.5   246   355   401   510   400   513 0.97 -
scaffold_10:814802-812610     -            731 8828at71240          -            913  3.7e-181  603.6  24.7   6   7   6.5e-29   1.4e-27   95.3   0.6   246   361   506   621   505   625 0.96 -
scaffold_10:814802-812610     -            731 8828at71240          -            913  3.7e-181  603.6  24.7   7   7   7.7e-30   1.7e-28   98.4   0.4   221   330   620   730   614   731 0.93 -
scaffold_7:5001764-5003545    -            594 8828at71240          -            913  1.6e-177  591.6  38.9   1   7   2.2e-14   4.9e-13   47.3   0.3   248   357     2   111     1   111 0.96 -
scaffold_7:5001764-5003545    -            594 8828at71240          -            913  1.6e-177  591.6  38.9   2   7   9.9e-34   2.2e-32  111.3   0.3   239   364    98   223    97   227 0.97 -
scaffold_7:5001764-5003545    -            594 8828at71240          -            913  1.6e-177  591.6  38.9   3   7   3.1e-30   6.8e-29   99.7   1.1   232   355   161   284   151   287 0.96 -
scaffold_7:5001764-5003545    -            594 8828at71240          -            913  1.6e-177  591.6  38.9   4   7   1.6e-36   3.5e-35  120.5   1.7   231   356   230   355   216   356 0.94 -
scaffold_7:5001764-5003545    -            594 8828at71240          -            913  1.6e-177  591.6  38.9   5   7   6.7e-30   1.5e-28   98.6   0.9   253   358   287   392   282   403 0.93 -
scaffold_7:5001764-5003545    -            594 8828at71240          -            913  1.6e-177  591.6  38.9   6   7     2e-42   4.4e-41  140.1   1.1   232   357   406   531   393   532 0.95 -
scaffold_7:5001764-5003545    -            594 8828at71240          -            913  1.6e-177  591.6  38.9   7   7   7.1e-14   1.6e-12   45.6   0.0   245   313   524   592   524   594 0.97 -
scaffold_3:39562753-39560573  -            727 8828at71240          -            913    1e-174  582.3  23.4   1   6   8.3e-27   1.8e-25   88.4   0.1   240   365     2   127     1   132 0.97 -
scaffold_3:39562753-39560573  -            727 8828at71240          -            913    1e-174  582.3  23.4   2   6   1.6e-34   3.4e-33  113.9   0.3   232   354   134   256   128   261 0.98 -
scaffold_3:39562753-39560573  -            727 8828at71240          -            913    1e-174  582.3  23.4   3   6   1.5e-26   3.4e-25   87.5   0.1   248   365   255   372   254   377 0.95 -
scaffold_3:39562753-39560573  -            727 8828at71240          -            913    1e-174  582.3  23.4   4   6   5.9e-40   1.3e-38  131.9   1.9   232   364   379   511   369   512 0.96 -
scaffold_3:39562753-39560573  -            727 8828at71240          -            913    1e-174  582.3  23.4   5   6   1.7e-27   3.8e-26   90.6   0.2   247   359   499   611   499   613 0.97 -
scaffold_3:39562753-39560573  -            727 8828at71240          -            913    1e-174  582.3  23.4   6   6   6.9e-29   1.5e-27   95.3   0.1   247   369   604   726   603   727 0.97 -
scaffold_10:697479-699413     -            645 8828at71240          -            913  4.3e-173  576.9  21.8   1   7   1.8e-13     4e-12   44.2   0.0   259   358    13   112     1   114 0.91 -
scaffold_10:697479-699413     -            645 8828at71240          -            913  4.3e-173  576.9  21.8   2   7   3.5e-34   7.6e-33  112.8   0.3   245   367   104   226   104   229 0.97 -
scaffold_10:697479-699413     -            645 8828at71240          -            913  4.3e-173  576.9  21.8   3   7   1.4e-28   3.1e-27   94.2   0.0   247   359   211   323   210   324 0.98 -
scaffold_10:697479-699413     -            645 8828at71240          -            913  4.3e-173  576.9  21.8   4   7   2.7e-30     6e-29   99.9   0.1   245   362   314   431   314   433 0.97 -
scaffold_10:697479-699413     -            645 8828at71240          -            913  4.3e-173  576.9  21.8   5   7   4.6e-27     1e-25   89.2   0.0   247   357   351   461   351   461 0.98 -
scaffold_10:697479-699413     -            645 8828at71240          -            913  4.3e-173  576.9  21.8   6   7   1.2e-37   2.7e-36  124.2   0.2   217   359   425   568   423   569 0.96 -
scaffold_10:697479-699413     -            645 8828at71240          -            913  4.3e-173  576.9  21.8   7   7   9.1e-22     2e-20   71.7   0.4   245   330   559   644   559   645 0.98 -
scaffold_7:2070643-2069204    -            480 8828at71240          -            913  8.7e-173  575.9  30.3   1   6     1e-25   2.2e-24   84.8   1.3   232   357    27   152     5   153 0.94 -
scaffold_7:2070643-2069204    -            480 8828at71240          -            913  8.7e-173  575.9  30.3   2   6     3e-34   6.6e-33  113.0   0.2   239   357   104   222   104   222 0.98 -
scaffold_7:2070643-2069204    -            480 8828at71240          -            913  8.7e-173  575.9  30.3   3   6     3e-34   6.6e-33  113.0   0.3   239   357   139   257   139   259 0.99 -
scaffold_7:2070643-2069204    -            480 8828at71240          -            913  8.7e-173  575.9  30.3   4   6   3.9e-33   8.7e-32  109.3   0.3   246   357   216   327   215   327 0.98 -
scaffold_7:2070643-2069204    -            480 8828at71240          -            913  8.7e-173  575.9  30.3   5   6     1e-32   2.3e-31  107.9   0.5   247   357   252   362   250   362 0.98 -
scaffold_7:2070643-2069204    -            480 8828at71240          -            913  8.7e-173  575.9  30.3   6   6   5.6e-32   1.2e-30  105.5   0.4   247   365   357   475   356   478 0.98 -
scaffold_10:1180612-1182498   -            629 8828at71240          -            913  2.4e-170  567.8  14.0   1   6   9.6e-26   2.1e-24   84.9   0.0   239   355    30   146    22   148 0.96 -
scaffold_10:1180612-1182498   -            629 8828at71240          -            913  2.4e-170  567.8  14.0   2   6   5.2e-34   1.1e-32  112.2   0.0   247   360   143   256   141   258 0.98 -
scaffold_10:1180612-1182498   -            629 8828at71240          -            913  2.4e-170  567.8  14.0   3   6   6.3e-41   1.4e-39  135.1   0.1   234   357   235   358   234   360 0.98 -
scaffold_10:1180612-1182498   -            629 8828at71240          -            913  2.4e-170  567.8  14.0   4   6   3.7e-36   8.1e-35  119.3   0.0   247   355   353   461   351   463 0.98 -
scaffold_10:1180612-1182498   -            629 8828at71240          -            913  2.4e-170  567.8  14.0   5   6   3.2e-24   7.1e-23   79.8   0.0   278   357   454   533   454   533 0.97 -
scaffold_10:1180612-1182498   -            629 8828at71240          -            913  2.4e-170  567.8  14.0   6   6   1.2e-24   2.5e-23   81.3   1.1   239   345   520   629   520   629 0.96 -
scaffold_10:12021764-12019467 -            766 8828at71240          -            913  5.1e-169  563.4  19.2   1   7   8.7e-14   1.9e-12   45.3   0.1   419   494    13    89     2    90 0.78 -
scaffold_10:12021764-12019467 -            766 8828at71240          -            913  5.1e-169  563.4  19.2   2   7   3.1e-32   6.8e-31  106.3   0.0   232   357    66   191    65   192 0.98 -
scaffold_10:12021764-12019467 -            766 8828at71240          -            913  5.1e-169  563.4  19.2   3   7   2.4e-24   5.2e-23   80.2   0.1   247   356   186   295   186   296 0.97 -
scaffold_10:12021764-12019467 -            766 8828at71240          -            913  5.1e-169  563.4  19.2   4   7   4.3e-31   9.4e-30  102.6   0.1   235   357   279   401   275   402 0.98 -
scaffold_10:12021764-12019467 -            766 8828at71240          -            913  5.1e-169  563.4  19.2   5   7   1.7e-30   3.7e-29  100.6   0.2   245   374   394   528   394   528 0.95 -
