# BUSCO version is: 5.5.0 
# The lineage dataset is: eudicots_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
793at71240	Complete	Pcitr_chr3:7708294-7692116	7708294	7692116	-	2580.1	1792	https://v10-1.orthodb.org/?query=793at71240	Protein virilizer
836at71240	Complete	Pcitr_chr6:26522150-26534483	26522150	26534483	+	1905.3	1735	https://v10-1.orthodb.org/?query=836at71240	NT-type C2 domain
851at71240	Fragmented	Pcitr_chr5:13172916-13242509	13172916	13242509	+	1644.8	963	https://v10-1.orthodb.org/?query=851at71240	Sister chromatid cohesion protein
906at71240	Complete	Pcitr_chr6:13950608-13942572	13950608	13942572	-	1590.2	1314	https://v10-1.orthodb.org/?query=906at71240	Putative zinc-finger domain
916at71240	Complete	Pcitr_chr8:19900072-19885536	19900072	19885536	-	2929.3	1681	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
933at71240	Complete	Pcitr_chr3:11220545-11233836	11220545	11233836	+	2132.8	1315	https://v10-1.orthodb.org/?query=933at71240	UDP-glucose:Glycoprotein Glucosyltransferase
945at71240	Complete	Pcitr_chr7:12863508-12840982	12863508	12840982	-	2810.7	1550	https://v10-1.orthodb.org/?query=945at71240	Proteasome activator Blm10, mid region
1064at71240	Complete	Pcitr_chr9:20991369-20945434	20991369	20945434	-	2267.8	1462	https://v10-1.orthodb.org/?query=1064at71240	THO complex, subunitTHOC2, C-terminal
1065at71240	Duplicated	Pcitr_chr3:27305595-27292230	27305595	27292230	-	1909.3	1369	https://v10-1.orthodb.org/?query=1065at71240	Autophagy-related, C-terminal
1065at71240	Duplicated	Pcitr_chr8:25792992-25803845	25792992	25803845	+	1796.2	1370	https://v10-1.orthodb.org/?query=1065at71240	Autophagy-related, C-terminal
1115at71240	Complete	Pcitr_chr11:2689322-2673385	2689322	2673385	-	2064.9	1505	https://v10-1.orthodb.org/?query=1115at71240	ARID DNA-binding domain
1147at71240	Complete	Pcitr_chr3:14280066-14263894	14280066	14263894	-	2148.7	1461	https://v10-1.orthodb.org/?query=1147at71240	tRNA/rRNA methyltransferase, SpoU type
1158at71240	Complete	Pcitr_chr2:11791796-11776480	11791796	11776480	-	2207.8	1490	https://v10-1.orthodb.org/?query=1158at71240	Zinc finger, RING-type
1159at71240	Complete	Pcitr_chr3:17914467-17904621	17914467	17904621	-	1681.4	1431	https://v10-1.orthodb.org/?query=1159at71240	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
1162at71240	Complete	Pcitr_Contig24:7715872-7703757	7715872	7703757	-	2577.1	1517	https://v10-1.orthodb.org/?query=1162at71240	Mediator complex, subunit Med14
1185at71240	Complete	Pcitr_chr3:24261818-24245046	24261818	24245046	-	1899.8	1224	https://v10-1.orthodb.org/?query=1185at71240	Zinc finger, PHD-type
1212at71240	Complete	Pcitr_chr6:11906558-11932485	11906558	11932485	+	2319.1	1382	https://v10-1.orthodb.org/?query=1212at71240	Mon2, C-terminal
1291at71240	Complete	Pcitr_chr1:39157625-39143203	39157625	39143203	-	2057.8	1360	https://v10-1.orthodb.org/?query=1291at71240	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1308at71240	Complete	Pcitr_chr3:31619903-31609909	31619903	31609909	-	2444.3	1206	https://v10-1.orthodb.org/?query=1308at71240	DNA2/NAM7 helicase, AAA domain
1357at71240	Complete	Pcitr_chr8:13846435-13833427	13846435	13833427	-	2144.3	1323	https://v10-1.orthodb.org/?query=1357at71240	WD40-repeat-containing domain
1506at71240	Complete	Pcitr_chr5:34451914-34462819	34451914	34462819	+	2297.2	1214	https://v10-1.orthodb.org/?query=1506at71240	WD40-repeat-containing domain
1526at71240	Complete	Pcitr_chr5:29972910-29958661	29972910	29958661	-	2271.7	1143	https://v10-1.orthodb.org/?query=1526at71240	Nck-associated protein 1
1566at71240	Complete	Pcitr_chr5:5479670-5498509	5479670	5498509	+	2263.6	1225	https://v10-1.orthodb.org/?query=1566at71240	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
1578at71240	Complete	Pcitr_chr10:7776395-7758763	7776395	7758763	-	2288.1	1338	https://v10-1.orthodb.org/?query=1578at71240	SNF2-related, N-terminal domain
1589at71240	Complete	Pcitr_chr3:9467825-9462790	9467825	9462790	-	2532.0	1201	https://v10-1.orthodb.org/?query=1589at71240	magnesium-chelatase subunit ChlH, chloroplastic
1604at71240	Complete	Pcitr_chr7:4229356-4216863	4229356	4216863	-	1650.5	979	https://v10-1.orthodb.org/?query=1604at71240	ATPase, AAA-type, conserved site
1674at71240	Complete	Pcitr_chr8:33401925-33387705	33401925	33387705	-	1700.8	1188	https://v10-1.orthodb.org/?query=1674at71240	Nuclear pore complex protein NUP160
1722at71240	Complete	Pcitr_chr6:16453118-16461904	16453118	16461904	+	1800.8	1058	https://v10-1.orthodb.org/?query=1722at71240	FAD-dependent oxidoreductase 2, FAD binding domain
1950at71240	Complete	Pcitr_chr5:31276339-31297451	31276339	31297451	+	2052.9	1270	https://v10-1.orthodb.org/?query=1950at71240	Dicer dimerisation domain
2018at71240	Duplicated	Pcitr_chr11:3050485-3042472	3050485	3042472	-	1646.7	1080	https://v10-1.orthodb.org/?query=2018at71240	WD40 repeat
2018at71240	Duplicated	Pcitr_chr6:7470347-7463235	7470347	7463235	-	1576.8	1086	https://v10-1.orthodb.org/?query=2018at71240	WD40 repeat
2045at71240	Complete	Pcitr_chr8:19023986-19004705	19023986	19004705	-	2162.9	1108	https://v10-1.orthodb.org/?query=2045at71240	Cytoplasmic FMR1-interacting
2065at71240	Complete	Pcitr_chr4:35517802-35507320	35517802	35507320	-	1924.2	1126	https://v10-1.orthodb.org/?query=2065at71240	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
2073at71240	Complete	Pcitr_chr2:2574441-2560490	2574441	2560490	-	2171.3	1483	https://v10-1.orthodb.org/?query=2073at71240	Armadillo-type fold
2143at71240	Complete	Pcitr_chr5:35369354-35373531	35369354	35373531	+	1789.7	1154	https://v10-1.orthodb.org/?query=2143at71240	Sec7 domain
2268at71240	Complete	Pcitr_chr11:1055696-1060789	1055696	1060789	+	2216.7	1228	https://v10-1.orthodb.org/?query=2268at71240	Pentatricopeptide repeat
2327at71240	Complete	Pcitr_chr7:26864258-26879690	26864258	26879690	+	1754.9	1042	https://v10-1.orthodb.org/?query=2327at71240	Polymerase, nucleotidyl transferase domain
2360at71240	Complete	Pcitr_chr6:13939879-13933682	13939879	13933682	-	1889.1	1119	https://v10-1.orthodb.org/?query=2360at71240	Elongator complex protein 1
2395at71240	Complete	Pcitr_chr8:30722824-30712661	30722824	30712661	-	2222.1	1306	https://v10-1.orthodb.org/?query=2395at71240	WD40 repeat
2400at71240	Complete	Pcitr_chr6:9004250-9011254	9004250	9011254	+	1568.5	978	https://v10-1.orthodb.org/?query=2400at71240	Nucleoporin, Nup133/Nup155-like, C-terminal
2421at71240	Complete	Pcitr_chr8:29099049-29108692	29099049	29108692	+	1972.5	1025	https://v10-1.orthodb.org/?query=2421at71240	TRAPP II complex, Trs120
2430at71240	Duplicated	Pcitr_chr1:37835151-37815565	37835151	37815565	-	1963.5	1234	https://v10-1.orthodb.org/?query=2430at71240	Four-carbon acid sugar kinase, N-terminal domain
2430at71240	Duplicated	Pcitr_chr8:33749597-33726557	33749597	33726557	-	1993.4	1248	https://v10-1.orthodb.org/?query=2430at71240	Four-carbon acid sugar kinase, N-terminal domain
2474at71240	Duplicated	Pcitr_chr3:19450106-19457385	19450106	19457385	+	1818.7	1061	https://v10-1.orthodb.org/?query=2474at71240	SPRY domain
2474at71240	Duplicated	Pcitr_chr6:13594207-13585925	13594207	13585925	-	1809.3	1071	https://v10-1.orthodb.org/?query=2474at71240	SPRY domain
2499at71240	Complete	Pcitr_chr6:28425975-28450872	28425975	28450872	+	1883.6	1090	https://v10-1.orthodb.org/?query=2499at71240	DNA ligase
2529at71240	Missing
2585at71240	Complete	Pcitr_chr11:22137137-22127391	22137137	22127391	-	1693.6	1059	https://v10-1.orthodb.org/?query=2585at71240	Tetratricopeptide-like helical
2753at71240	Complete	Pcitr_chr3:11840431-11854100	11840431	11854100	+	2041.3	1168	https://v10-1.orthodb.org/?query=2753at71240	ABC transporter type 1, transmembrane domain
2869at71240	Complete	Pcitr_chr1:148999-153505	148999	153505	+	1456.5	901	https://v10-1.orthodb.org/?query=2869at71240	WD40 repeat
2873at71240	Complete	Pcitr_chr8:19319721-19303531	19319721	19303531	-	1837.6	1115	https://v10-1.orthodb.org/?query=2873at71240	SNF2-related, N-terminal domain
2884at71240	Complete	Pcitr_chr9:2390491-2378653	2390491	2378653	-	1537.8	1058	https://v10-1.orthodb.org/?query=2884at71240	Tetratricopeptide repeat
2954at71240	Complete	Pcitr_chr10:27343523-27354616	27343523	27354616	+	1904.7	1061	https://v10-1.orthodb.org/?query=2954at71240	ATP-dependent RNA helicase Ski2, C-terminal
2956at71240	Complete	Pcitr_chr4:8553146-8557784	8553146	8557784	+	2183.6	1184	https://v10-1.orthodb.org/?query=2956at71240	Leucine-rich repeat
2984at71240	Complete	Pcitr_chr10:24222557-24210923	24222557	24210923	-	1447.1	993	https://v10-1.orthodb.org/?query=2984at71240	Symplekin/Pta1, N-terminal
3053at71240	Complete	Pcitr_chr10:14733461-14729673	14733461	14729673	-	2344.7	1130	https://v10-1.orthodb.org/?query=3053at71240	Hydantoinase A/oxoprolinase
3069at71240	Duplicated	Pcitr_chr10:22146480-22151838	22146480	22151838	+	1715.1	946	https://v10-1.orthodb.org/?query=3069at71240	Glycoside hydrolase family 38, central domain
3069at71240	Duplicated	Pcitr_chr2:21490101-21495734	21490101	21495734	+	1748.2	946	https://v10-1.orthodb.org/?query=3069at71240	Glycoside hydrolase family 38, central domain
3142at71240	Complete	Pcitr_chr3:31339448-31333574	31339448	31333574	-	1858.0	1084	https://v10-1.orthodb.org/?query=3142at71240	SNF2-related, N-terminal domain
3157at71240	Complete	Pcitr_chr4:31776861-31764795	31776861	31764795	-	1495.6	1080	https://v10-1.orthodb.org/?query=3157at71240	Abnormal spindle-like microcephaly-associated protein
3166at71240	Duplicated	Pcitr_chr10:28841282-28847471	28841282	28847471	+	2122.7	1018	https://v10-1.orthodb.org/?query=3166at71240	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
3166at71240	Duplicated	Pcitr_chr2:7942871-7936747	7942871	7936747	-	2013.0	989	https://v10-1.orthodb.org/?query=3166at71240	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
3221at71240	Complete	Pcitr_chr8:30036376-30046420	30036376	30046420	+	1185.2	718	https://v10-1.orthodb.org/?query=3221at71240	SNF2-related, N-terminal domain
3382at71240	Complete	Pcitr_chr6:10880960-10893701	10880960	10893701	+	1799.6	964	https://v10-1.orthodb.org/?query=3382at71240	Glycoside hydrolase family 2, catalytic domain
3391at71240	Duplicated	Pcitr_chr2:46458592-46446911	46458592	46446911	-	2140.5	1104	https://v10-1.orthodb.org/?query=3391at71240	TATA-binding protein interacting (TIP20)
3391at71240	Duplicated	Pcitr_chr9:33580204-33568271	33580204	33568271	-	2093.0	1116	https://v10-1.orthodb.org/?query=3391at71240	TATA-binding protein interacting (TIP20)
3447at71240	Duplicated	Pcitr_chr10:17010803-17013553	17010803	17013553	+	1478.9	856	https://v10-1.orthodb.org/?query=3447at71240	Pentatricopeptide repeat
3447at71240	Duplicated	Pcitr_chr10:17026118-17022798	17026118	17022798	-	1619.3	941	https://v10-1.orthodb.org/?query=3447at71240	Pentatricopeptide repeat
3471at71240	Complete	Pcitr_chr6:6623636-6636942	6623636	6636942	+	1852.9	930	https://v10-1.orthodb.org/?query=3471at71240	P-type ATPase
3475at71240	Complete	Pcitr_chr1:25612387-25603714	25612387	25603714	-	1752.9	1036	https://v10-1.orthodb.org/?query=3475at71240	DNA mismatch repair protein MutS, core
3500at71240	Complete	Pcitr_chr3:16800791-16791845	16800791	16791845	-	1578.3	989	https://v10-1.orthodb.org/?query=3500at71240	Tetratricopeptide repeat
3501at71240	Duplicated	Pcitr_chr4:25948580-25927418	25948580	25927418	-	1641.3	933	https://v10-1.orthodb.org/?query=3501at71240	Carbohydrate binding module family 20
3501at71240	Duplicated	Pcitr_chr7:25434699-25422607	25434699	25422607	-	1639.6	963	https://v10-1.orthodb.org/?query=3501at71240	Carbohydrate binding module family 20
3595at71240	Complete	Pcitr_chr6:2001187-2013833	2001187	2013833	+	1423.9	1056	https://v10-1.orthodb.org/?query=3595at71240	RNA polymerase II-associated protein 1, C-terminal
3633at71240	Complete	Pcitr_chr9:9334455-9316406	9334455	9316406	-	1853.1	1051	https://v10-1.orthodb.org/?query=3633at71240	Tubulin-folding cofactor D
3639at71240	Complete	Pcitr_chr9:5146312-5139862	5146312	5139862	-	1346.7	939	https://v10-1.orthodb.org/?query=3639at71240	Condensin-2 complex subunit G2
3732at71240	Complete	Pcitr_chr6:28224140-28240686	28224140	28240686	+	1183.2	874	https://v10-1.orthodb.org/?query=3732at71240	Armadillo-type fold
3734at71240	Complete	Pcitr_chr1:37131934-37098836	37131934	37098836	-	1770.6	1028	https://v10-1.orthodb.org/?query=3734at71240	Transcription initiation factor TFIID subunit 2
3767at71240	Complete	Pcitr_chr5:31459258-31453959	31459258	31453959	-	1474.3	900	https://v10-1.orthodb.org/?query=3767at71240	RNA-dependent RNA polymerase
3870at71240	Complete	Pcitr_chr3:5774816-5765726	5774816	5765726	-	1498.6	903	https://v10-1.orthodb.org/?query=3870at71240	HECT domain
3884at71240	Complete	Pcitr_chr3:14697225-14682632	14697225	14682632	-	2091.4	1215	https://v10-1.orthodb.org/?query=3884at71240	Tyrosine-protein kinase ephrin type A/B receptor-like
3897at71240	Duplicated	Pcitr_chr11:13426305-13414114	13426305	13414114	-	1788.2	949	https://v10-1.orthodb.org/?query=3897at71240	Peptidase M16, C-terminal
3897at71240	Duplicated	Pcitr_chr3:16714789-16703787	16714789	16703787	-	1802.2	961	https://v10-1.orthodb.org/?query=3897at71240	Peptidase M16, C-terminal
3930at71240	Complete	Pcitr_chr10:18184050-18175762	18184050	18175762	-	1417.4	1038	https://v10-1.orthodb.org/?query=3930at71240	Kinesin motor domain
3966at71240	Complete	Pcitr_chr2:3262260-3299694	3262260	3299694	+	1982.8	1004	https://v10-1.orthodb.org/?query=3966at71240	Protein TPLATE
3978at71240	Complete	Pcitr_chr8:11733008-11741946	11733008	11741946	+	1603.9	974	https://v10-1.orthodb.org/?query=3978at71240	Trafficking protein particle complex subunit 11
4043at71240	Duplicated	Pcitr_chr1:34253656-34233518	34253656	34233518	-	1801.5	977	https://v10-1.orthodb.org/?query=4043at71240	SH3 domain
4043at71240	Duplicated	Pcitr_chr5:29449281-29433855	29449281	29433855	-	1868.3	976	https://v10-1.orthodb.org/?query=4043at71240	SH3 domain
4088at71240	Complete	Pcitr_chr1:26081732-26091654	26081732	26091654	+	1493.3	984	https://v10-1.orthodb.org/?query=4088at71240	WD40 repeat
4227at71240	Complete	Pcitr_chr8:19335907-19350647	19335907	19350647	+	1483.6	951	https://v10-1.orthodb.org/?query=4227at71240	Peptidase M41
4302at71240	Complete	Pcitr_chr3:21244182-21252968	21244182	21252968	+	1496.8	920	https://v10-1.orthodb.org/?query=4302at71240	AP-3 complex subunit beta
4325at71240	Complete	Pcitr_chr1:38065575-38084890	38065575	38084890	+	1456.3	897	https://v10-1.orthodb.org/?query=4325at71240	Helicase, C-terminal
4403at71240	Complete	Pcitr_chr4:31674263-31666967	31674263	31666967	-	1310.3	775	https://v10-1.orthodb.org/?query=4403at71240	tRNA wybutosine-synthesizing protein
4425at71240	Complete	Pcitr_chr3:929262-914202	929262	914202	-	1394.9	842	https://v10-1.orthodb.org/?query=4425at71240	Nuclear pore protein 84/107
4609at71240	Complete	Pcitr_chr1:25321247-25325443	25321247	25325443	+	1858.9	941	https://v10-1.orthodb.org/?query=4609at71240	Cellulose synthase
4757at71240	Complete	Pcitr_chr1:32510588-32503453	32510588	32503453	-	1088.6	644	https://v10-1.orthodb.org/?query=4757at71240	Protein kinase domain
4778at71240	Complete	Pcitr_chr5:34818053-34809460	34818053	34809460	-	1656.0	888	https://v10-1.orthodb.org/?query=4778at71240	PPM-type phosphatase domain
4807at71240	Complete	Pcitr_chr8:23138714-23147780	23138714	23147780	+	1409.9	883	https://v10-1.orthodb.org/?query=4807at71240	Nrap protein, domain 4
4838at71240	Complete	Pcitr_chr1:35057771-35072126	35057771	35072126	+	1900.0	987	https://v10-1.orthodb.org/?query=4838at71240	MIF4G-like domain superfamily
4907at71240	Complete	Pcitr_chr1:37365384-37385887	37365384	37385887	+	1171.5	747	https://v10-1.orthodb.org/?query=4907at71240	SNF2-related, N-terminal domain
4918at71240	Complete	Pcitr_chr5:25393787-25411876	25393787	25411876	+	1074.6	776	https://v10-1.orthodb.org/?query=4918at71240	BRCT domain
4933at71240	Duplicated	Pcitr_chr4:20923085-20940173	20923085	20940173	+	1723.7	954	https://v10-1.orthodb.org/?query=4933at71240	DNA mismatch repair protein MutS, C-terminal
4933at71240	Duplicated	Pcitr_chr7:20348656-20327048	20348656	20327048	-	1808.2	964	https://v10-1.orthodb.org/?query=4933at71240	DNA mismatch repair protein MutS, C-terminal
5096at71240	Complete	Pcitr_chr5:21508385-21502088	21508385	21502088	-	1657.2	929	https://v10-1.orthodb.org/?query=5096at71240	ATP-dependent RNA helicase Ski2, C-terminal
5171at71240	Complete	Pcitr_chr5:4189369-4183489	4189369	4183489	-	1612.5	959	https://v10-1.orthodb.org/?query=5171at71240	SNF2-related, N-terminal domain
5180at71240	Complete	Pcitr_chr3:16677566-16684380	16677566	16684380	+	832.7	684	https://v10-1.orthodb.org/?query=5180at71240	SET domain
5218at71240	Complete	Pcitr_chr5:36842047-36837210	36842047	36837210	-	1799.9	865	https://v10-1.orthodb.org/?query=5218at71240	Translation elongation factor EFG/EF2, domain IV
5269at71240	Complete	Pcitr_chr4:26993588-27040057	26993588	27040057	+	1517.9	898	https://v10-1.orthodb.org/?query=5269at71240	Glycine-tRNA ligase, alpha subunit
5369at71240	Complete	Pcitr_chr5:22395382-22398306	22395382	22398306	+	1358.3	796	https://v10-1.orthodb.org/?query=5369at71240	Pentatricopeptide repeat
5402at71240	Complete	Pcitr_chr1:25747155-25757067	25747155	25757067	+	1754.3	1045	https://v10-1.orthodb.org/?query=5402at71240	Carbohydrate-binding-like fold
5406at71240	Complete	Pcitr_chr1:26234531-26245585	26234531	26245585	+	1555.6	792	https://v10-1.orthodb.org/?query=5406at71240	SecA, preprotein cross-linking domain
5407at71240	Complete	Pcitr_chr7:29939474-29962678	29939474	29962678	+	1370.9	757	https://v10-1.orthodb.org/?query=5407at71240	Aminoacyl-tRNA synthetase, class Ia
5427at71240	Duplicated	Pcitr_chr10:18170378-18174987	18170378	18174987	+	1408.9	773	https://v10-1.orthodb.org/?query=5427at71240	Elongation factor EFG, domain V-like
5427at71240	Duplicated	Pcitr_chr2:32829487-32822917	32829487	32822917	-	1389.6	781	https://v10-1.orthodb.org/?query=5427at71240	Elongation factor EFG, domain V-like
5504at71240	Complete	Pcitr_chr8:14452215-14458800	14452215	14458800	+	1675.1	900	https://v10-1.orthodb.org/?query=5504at71240	GHMP kinase, C-terminal domain
5623at71240	Complete	Pcitr_chr9:2764596-2792399	2764596	2792399	+	1624.0	851	https://v10-1.orthodb.org/?query=5623at71240	NHL repeat
5633at71240	Complete	Pcitr_chr10:22356818-22346927	22356818	22346927	-	1209.6	932	https://v10-1.orthodb.org/?query=5633at71240	XPG/Rad2 endonuclease
5653at71240	Complete	Pcitr_chr2:17159860-17134911	17159860	17134911	-	1520.2	879	https://v10-1.orthodb.org/?query=5653at71240	Tetratricopeptide repeat
5656at71240	Complete	Pcitr_chr2:13174651-13171469	13174651	13171469	-	1291.6	826	https://v10-1.orthodb.org/?query=5656at71240	Protein of unknown function DUF2921
5663at71240	Complete	Pcitr_chr6:26143648-26168846	26143648	26168846	+	1667.8	836	https://v10-1.orthodb.org/?query=5663at71240	Aminoacyl-tRNA synthetase, class Ia
5687at71240	Complete	Pcitr_chr11:3565686-3573704	3565686	3573704	+	1266.0	1048	https://v10-1.orthodb.org/?query=5687at71240	Zinc finger, RING-type
5699at71240	Complete	Pcitr_chr6:7674198-7686919	7674198	7686919	+	1619.8	837	https://v10-1.orthodb.org/?query=5699at71240	Pep3/Vps18/deep orange
5730at71240	Missing
5943at71240	Complete	Pcitr_chr3:9551757-9563314	9551757	9563314	+	1034.6	818	https://v10-1.orthodb.org/?query=5943at71240	Uncharacterised domain NUC173
6058at71240	Complete	Pcitr_chr1:44790682-44798004	44790682	44798004	+	1674.2	991	https://v10-1.orthodb.org/?query=6058at71240	ATPase, AAA-type, conserved site
6130at71240	Complete	Pcitr_chr11:6665520-6669519	6665520	6669519	+	1017.7	780	https://v10-1.orthodb.org/?query=6130at71240	BTB/POZ domain
6146at71240	Complete	Pcitr_chr11:7232780-7223743	7232780	7223743	-	1522.0	1045	https://v10-1.orthodb.org/?query=6146at71240	Armadillo-type fold
6220at71240	Complete	Pcitr_chr8:19402123-19439776	19402123	19439776	+	1716.8	1012	https://v10-1.orthodb.org/?query=6220at71240	Exportin-1, C-terminal
6428at71240	Complete	Pcitr_chr3:12210118-12204286	12210118	12204286	-	1395.7	841	https://v10-1.orthodb.org/?query=6428at71240	Peptidase S59, nucleoporin
6441at71240	Complete	Pcitr_chr4:33659081-33630037	33659081	33630037	-	1308.5	879	https://v10-1.orthodb.org/?query=6441at71240	Kinesin motor domain
6442at71240	Complete	Pcitr_chr3:33649537-33638580	33649537	33638580	-	971.4	795	https://v10-1.orthodb.org/?query=6442at71240	Telomerase reverse transcriptase
6496at71240	Complete	Pcitr_chr1:35421645-35395236	35421645	35395236	-	1319.5	831	https://v10-1.orthodb.org/?query=6496at71240	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
6528at71240	Complete	Pcitr_chr5:35355691-35368946	35355691	35368946	+	1323.0	751	https://v10-1.orthodb.org/?query=6528at71240	DNA mismatch repair protein MutS, core
6543at71240	Missing
6642at71240	Complete	Pcitr_chr1:10134896-10171096	10134896	10171096	+	1540.1	850	https://v10-1.orthodb.org/?query=6642at71240	Exportin-1/Importin-beta-like
6650at71240	Complete	Pcitr_chr10:21591032-21607206	21591032	21607206	+	1005.4	775	https://v10-1.orthodb.org/?query=6650at71240	DDT domain
6688at71240	Complete	Pcitr_chr7:1864202-1872950	1864202	1872950	+	1453.6	809	https://v10-1.orthodb.org/?query=6688at71240	Glycoside hydrolase, family 77
6689at71240	Complete	Pcitr_chr6:12502373-12493613	12502373	12493613	-	1412.0	779	https://v10-1.orthodb.org/?query=6689at71240	Alpha-1,6-glucosidases, pullulanase-type
6786at71240	Complete	Pcitr_chr1:38679852-38682941	38679852	38682941	+	1629.3	805	https://v10-1.orthodb.org/?query=6786at71240	C2 domain
6800at71240	Duplicated	Pcitr_chr3:7712023-7724378	7712023	7724378	+	1492.7	1007	https://v10-1.orthodb.org/?query=6800at71240	TRAPP II complex, Trs120
6800at71240	Duplicated	Pcitr_chr4:35892972-35881295	35892972	35881295	-	1565.6	1011	https://v10-1.orthodb.org/?query=6800at71240	TRAPP II complex, Trs120
6862at71240	Complete	Pcitr_chr1:35501994-35516889	35501994	35516889	+	1330.4	884	https://v10-1.orthodb.org/?query=6862at71240	Peroxisome biogenesis factor 1, N-terminal, psi beta-barrel fold
6890at71240	Duplicated	Pcitr_chr2:8784305-8781738	8784305	8781738	-	1106.4	778	https://v10-1.orthodb.org/?query=6890at71240	Pentatricopeptide repeat
